Points_0,Points_1,Points_2,Points_Magnitude,activeset,displacement_0,displacement_1,displacement_2,displacement_Magnitude,gap,nodal_cauchy_stresses_xyz_0,nodal_cauchy_stresses_xyz_1,nodal_cauchy_stresses_xyz_2,nodal_cauchy_stresses_xyz_3,nodal_cauchy_stresses_xyz_4,nodal_cauchy_stresses_xyz_5,nodal_cauchy_stresses_xyz_Magnitude,norcontactstress_0,norcontactstress_1,norcontactstress_2,norcontactstress_Magnitude,tancontactstress_0,tancontactstress_1,tancontactstress_2,tancontactstress_Magnitude,Point ID
-2.44204e-19,-0.870968,0,0.870968,0,-5.78932e-19,-0.00315885,0,0.00315885,0,-0.356129,-4.12418,0,6.74228e-13,0,0,4.13953,0,0,0,0,0,0,0,0,40
3.22838e-19,-0.864516,0,0.864516,0,-1.01387e-18,-0.00327661,0,0.00327661,0,-0.31423,-3.97667,0,6.35366e-13,0,0,3.98907,0,0,0,0,0,0,0,0,41
-0.00646585,-0.864505,0,0.864529,0,-4.23733e-05,-0.0032827,0,0.00328298,0,-0.318547,-3.96498,0,0.147873,0,0,3.9805,0,0,0,0,0,0,0,0,42
-0.00655688,-0.870955,0,0.87098,0,-4.3732e-05,-0.00316557,0,0.00316587,0,-0.360843,-4.11099,0,0.159066,0,0,4.12986,0,0,0,0,0,0,0,0,43
-3.68386e-19,-0.877419,0,0.877419,0,-9.29575e-19,-0.00303698,0,0.00303698,0,-0.40455,-4.2806,0,-7.0158e-15,0,0,4.29968,0,0,0,0,0,0,0,0,44
-2.44204e-19,-0.870968,0,0.870968,0,-5.78932e-19,-0.00315885,0,0.00315885,0,-0.356129,-4.12418,0,6.74228e-13,0,0,4.13953,0,0,0,0,0,0,0,0,45
-0.00655688,-0.870955,0,0.87098,0,-4.3732e-05,-0.00316557,0,0.00316587,0,-0.360843,-4.11099,0,0.159066,0,0,4.12986,0,0,0,0,0,0,0,0,46
-0.00664791,-0.877406,0,0.877431,0,-4.50448e-05,-0.00304438,0,0.00304471,0,-0.409669,-4.26574,0,0.171082,0,0,4.28878,0,0,0,0,0,0,0,0,47
4.70606e-20,-0.883871,0,0.883871,0,-1.1755e-18,-0.00291078,0,0.00291078,0,-0.460821,-4.44648,0,6.32376e-13,0,0,4.47029,0,0,0,0,0,0,0,0,48
-3.68386e-19,-0.877419,0,0.877419,0,-9.29575e-19,-0.00303698,0,0.00303698,0,-0.40455,-4.2806,0,-7.0158e-15,0,0,4.29968,0,0,0,0,0,0,0,0,49
-0.00664791,-0.877406,0,0.877431,0,-4.50448e-05,-0.00304438,0,0.00304471,0,-0.409669,-4.26574,0,0.171082,0,0,4.28878,0,0,0,0,0,0,0,0,50
-0.00673894,-0.883856,0,0.883882,0,-4.6277e-05,-0.00291894,0,0.00291931,0,-0.466342,-4.42973,0,0.183924,0,0,4.458,0,0,0,0,0,0,0,0,51
-5.3989e-19,-0.890323,0,0.890323,0,-1.01568e-18,-0.00278007,0,0.00278007,0,-0.526578,-4.6223,0,1.9307e-15,0,0,4.65219,0,0,0,0,0,0,0,0,52
4.70606e-20,-0.883871,0,0.883871,0,-1.1755e-18,-0.00291078,0,0.00291078,0,-0.460821,-4.44648,0,6.32376e-13,0,0,4.47029,0,0,0,0,0,0,0,0,53
-0.00673894,-0.883856,0,0.883882,0,-4.6277e-05,-0.00291894,0,0.00291931,0,-0.466342,-4.42973,0,0.183924,0,0,4.458,0,0,0,0,0,0,0,0,54
-0.00682997,-0.890307,0,0.890333,0,-4.73826e-05,-0.00278907,0,0.00278947,0,-0.532476,-4.60344,0,0.19756,0,0,4.63835,0,0,0,0,0,0,0,0,55
-2.96555e-19,-0.896774,0,0.896774,0,-1.51129e-18,-0.00264464,0,0.00264464,0,-0.603838,-4.8085,0,6.09999e-13,0,0,4.84627,0,0,0,0,0,0,0,0,56
2.18389e-19,-0.890323,0,0.890323,0,-1.01042e-18,-0.00278007,0,0.00278007,0,-0.526578,-4.6223,0,1.90877e-15,0,0,4.65219,0,0,0,0,0,0,0,0,57
-0.00682997,-0.890307,0,0.890333,0,-4.73826e-05,-0.00278907,0,0.00278947,0,-0.532476,-4.60344,0,0.19756,0,0,4.63835,0,0,0,0,0,0,0,0,58
-0.006921,-0.896757,0,0.896784,0,-4.83005e-05,-0.00265458,0,0.00265502,0,-0.610059,-4.78732,0,0.211915,0,0,4.83068,0,0,0,0,0,0,0,0,59
-6.03434e-19,-0.903226,0,0.903226,0,-5.58036e-19,-0.00250433,0,0.00250433,0,-0.695094,-5.00543,0,-7.0462e-15,0,0,5.05346,0,0,0,0,0,0,0,0,60
-2.96555e-19,-0.896774,0,0.896774,0,-1.51129e-18,-0.00264464,0,0.00264464,0,-0.603838,-4.8085,0,6.09999e-13,0,0,4.84627,0,0,0,0,0,0,0,0,61
-0.006921,-0.896757,0,0.896784,0,-4.83005e-05,-0.00265458,0,0.00265502,0,-0.610059,-4.78732,0,0.211915,0,0,4.83068,0,0,0,0,0,0,0,0,62
-0.00701203,-0.903208,0,0.903235,0,-4.89502e-05,-0.0025153,0,0.00251577,0,-0.701538,-4.98169,0,0.226849,0,0,5.03595,0,0,0,0,0,0,0,0,63
1.48427e-19,-0.909677,0,0.909677,0,-6.22021e-19,-0.00235898,0,0.00235898,0,-0.803424,-5.21325,0,1.81382e-14,0,0,5.2748,0,0,0,0,0,0,0,0,64
1.75058e-19,-0.903226,0,0.903226,0,-5.52602e-19,-0.00250433,0,0.00250433,0,-0.695094,-5.00543,0,-7.07139e-15,0,0,5.05346,0,0,0,0,0,0,0,0,65
-0.00701203,-0.903208,0,0.903235,0,-4.89502e-05,-0.0025153,0,0.00251577,0,-0.701538,-4.98169,0,0.226849,0,0,5.03595,0,0,0,0,0,0,0,0,66
-0.00710306,-0.909658,0,0.909686,0,-4.92264e-05,-0.00237109,0,0.0023716,0,-0.809934,-5.18673,0,0.242132,0,0,5.25517,0,0,0,0,0,0,0,0,67
-1.32742e-20,-0.916129,0,0.916129,0,-1.16669e-18,-0.0022085,0,0.0022085,0,-0.932634,-5.43191,0,1.73396e-14,0,0,5.5114,0,0,0,0,0,0,0,0,68
1.48427e-19,-0.909677,0,0.909677,0,-6.22021e-19,-0.00235898,0,0.00235898,0,-0.803424,-5.21325,0,1.81382e-14,0,0,5.2748,0,0,0,0,0,0,0,0,69
-0.00710306,-0.909658,0,0.909686,0,-4.92264e-05,-0.00237109,0,0.0023716,0,-0.809934,-5.18673,0,0.242132,0,0,5.25517,0,0,0,0,0,0,0,0,70
-0.00719409,-0.916109,0,0.916137,0,-4.89913e-05,-0.00222185,0,0.00222239,0,-0.93897,-5.40242,0,0.257414,0,0,5.48945,0,0,0,0,0,0,0,0,71
-5.99795e-19,-0.922581,0,0.922581,0,-9.11886e-19,-0.00205282,0,0.00205282,0,-1.08741,-5.66102,0,-1.19131e-14,0,0,5.76451,0,0,0,0,0,0,0,0,72
-1.32742e-20,-0.916129,0,0.916129,0,-1.16669e-18,-0.0022085,0,0.0022085,0,-0.932634,-5.43191,0,1.73396e-14,0,0,5.5114,0,0,0,0,0,0,0,0,73
-0.00719409,-0.916109,0,0.916137,0,-4.89913e-05,-0.00222185,0,0.00222239,0,-0.93897,-5.40242,0,0.257414,0,0,5.48945,0,0,0,0,0,0,0,0,74
-0.00728512,-0.922559,0,0.922588,0,-4.8066e-05,-0.00206754,0,0.0020681,0,-1.09322,-5.62843,0,0.272192,0,0,5.74007,0,0,0,0,0,0,0,0,75
-4.24298e-19,-0.929032,0,0.929032,0,-3.74084e-19,-0.00189201,0,0.00189201,0,-1.27349,-5.89974,0,5.85244e-13,0,0,6.03562,0,0,0,0,0,0,0,0,76
2.09016e-19,-0.922581,0,0.922581,0,-9.0655e-19,-0.00205282,0,0.00205282,0,-1.08741,-5.66102,0,-1.19433e-14,0,0,5.76451,0,0,0,0,0,0,0,0,77
-0.00728512,-0.922559,0,0.922588,0,-4.8066e-05,-0.00206754,0,0.0020681,0,-1.09322,-5.62843,0,0.272192,0,0,5.74007,0,0,0,0,0,0,0,0,78
-0.00737615,-0.92901,0,0.929039,0,-4.62204e-05,-0.00190821,0,0.00190877,0,-1.27831,-5.864,0,0.285766,0,0,6.00851,0,0,0,0,0,0,0,0,79
1.15026e-19,-0.935484,0,0.935484,0,-5.09775e-19,-0.00172622,0,0.00172622,0,-1.49787,-6.14669,0,-5.95758e-13,0,0,6.32657,0,0,0,0,0,0,0,0,80
3.94619e-19,-0.929032,0,0.929032,0,-3.68952e-19,-0.00189201,0,0.00189201,0,-1.27349,-5.89974,0,5.85213e-13,0,0,6.03562,0,0,0,0,0,0,0,0,81
-0.00737615,-0.92901,0,0.929039,0,-4.62204e-05,-0.00190821,0,0.00190877,0,-1.27831,-5.864,0,0.285766,0,0,6.00851,0,0,0,0,0,0,0,0,82
-0.00746718,-0.93546,0,0.93549,0,-4.31607e-05,-0.001744,0,0.00174454,0,-1.50104,-6.10786,0,0.29721,0,0,6.29662,0,0,0,0,0,0,0,0,83
-5.95803e-19,-0.941935,0,0.941935,0,-8.09711e-19,-0.00155579,0,0.00155579,0,-1.76891,-6.39978,0,-5.87088e-16,0,0,6.63974,0,0,0,0,0,0,0,0,84
1.15026e-19,-0.935484,0,0.935484,0,-5.09775e-19,-0.00172622,0,0.00172622,0,-1.49787,-6.14669,0,-5.95758e-13,0,0,6.32657,0,0,0,0,0,0,0,0,85
-0.00746718,-0.93546,0,0.93549,0,-4.31607e-05,-0.001744,0,0.00174454,0,-1.50104,-6.10786,0,0.29721,0,0,6.29662,0,0,0,0,0,0,0,0,86
-0.00755821,-0.941911,0,0.941941,0,-3.85174e-05,-0.00157525,0,0.00157572,0,-1.76962,-6.35807,0,0.305347,0,0,6.6068,0,0,0,0,0,0,0,0,87
